Product,Brand,Cap_Haitien,Borgne,Dondon,Ranquitte,Bahon,Year,Month,Period,Currency
Cap-Haïtien,Marché Clu,ny,Centre ville,ND,ND,ND,2018,November,Q2,HTG
Dondon,1-Marché,Dondon,1-Centre ville,Moyenne,des,marchés,2018,November,Q2,HTG
Borgne,1- Petit- Bo,urg,1-Petit-Bourg,Moyenne,des,marchés,2018,November,Q2,HTG
Ranquitte,1- Marché,Garde-Iram,1-Garde-Iram,Moyenne,des,marchés,2018,November,Q2,HTG
St Raphaël,1- Marché,St Raphaël,1-Centre ville,Moyenne,des,marchés,2018,November,Q2,HTG
Bahon,Marché Ba,hon,Centre ville,ND,ND,ND,2018,November,Q2,HTG
Limonade,Marché Li,monade,Centre ville,ND,ND,ND,2018,November,Q2,HTG
Limbé,Marché Li,mbé,Centre ville,ND,ND,ND,2018,November,Q2,HTG
Pilate,Marché Pil,ate,Centre ville,ND,ND,ND,2018,November,Q2,HTG
